name,director,genre_1,genre_2,actor,release_date,average_rating,reviewer_name,review_rating,review_text,poster_url,game_date
Challengers,Luca Guadagnino,Drama,Romance,Zendaya,2024,4.0,patrick,4.5,may thy racket chip and shatter,https://a.ltrbxd.com/resized/film-poster/8/4/2/3/0/1/842301-challengers-0-230-0-345-crop.jpg?v=a7cd63cbef,2024-12-23
Interstellar,Christopher Nolan,Science Fiction,Drama,Matthew McConaughey,2014,4.4,<3,5.0,tell me you wouldn't cry too if your son grows up to be casey affleck,https://a.ltrbxd.com/resized/film-poster/1/1/7/6/2/1/117621-interstellar-0-230-0-345-crop.jpg?v=7ad89e6666,2024-12-24
Priscilla,Sofia Coppola,Drama,Romance,Cailee Spaeny,2023,3.6,ram<3,5.0,"she's everything, he's just elvis",https://a.ltrbxd.com/resized/film-poster/9/1/9/1/2/1/919121-priscilla-0-230-0-345-crop.jpg?v=d9ff2d4c5e,2024-12-25
Joker,Todd Phillips,Crime,Drama,Joaquin Phoenix,2019,3.8,Joao,1.0,if you’ve never swam in the ocean then of course a pool seems deep.,https://a.ltrbxd.com/resized/film-poster/4/0/6/7/7/5/406775-joker-0-230-0-345-crop.jpg?v=e4ea7f98cc,2024-12-26
Jaws,Steven Spielberg,Adventure,Thriller,Roy Scheider,1975,4.0,James (Schaffrillas),3.5,Reminds me of Shark Tale (2004),https://a.ltrbxd.com/resized/film-poster/5/1/5/4/2/51542-jaws-0-230-0-345-crop.jpg?v=03299455f6,2024-12-27
Baby Driver,Edgar Wright,Crime,Action,Ansel Elgort,2017,3.7,olivia 🧸🍊,5.0,The fault in our cars,https://a.ltrbxd.com/resized/film-poster/2/6/8/9/5/0/268950-baby-driver-0-230-0-345-crop.jpg?v=61304ddfc8,2024-12-28
Poor Things,Yorgos Lanthimos,Romance,Science Fiction,Emma Stone,2023,4.0,Lara,4.5,barbie (2023) but for mentally ill people,https://a.ltrbxd.com/resized/film-poster/7/1/0/3/5/2/710352-poor-things-0-230-0-345-crop.jpg?v=a0f2ee9a0e,2024-12-29
Everything Everywhere All at Once,Daniel Scheinert,Science Fiction,Adventure,Michelle Yeoh,2022,4.3,ian,4.5,rocks just made me cry,https://a.ltrbxd.com/resized/film-poster/4/7/4/4/7/4/474474-everything-everywhere-all-at-once-0-230-0-345-crop.jpg?v=281f1a041e,2024-12-30
Superbad,Greg Mottola,Comedy,,Jonah Hill,2007,3.9,andrea🌹,3.5,wish i could say i never had a crush on michael cera,https://a.ltrbxd.com/resized/film-poster/4/7/7/7/6/47776-superbad-0-230-0-345-crop.jpg?v=b43686efcb,2024-12-31
The Hunger Games: The Ballad of Songbirds & Snakes,Francis Lawrence,Science Fiction,Drama,Tom Blyth,2023,3.6,gracky,4.0,caught myself getting upset when the bad guy i know is bad turns out to be bad,https://a.ltrbxd.com/resized/film-poster/6/1/9/5/1/0/619510-the-hunger-games-the-ballad-of-songbirds-snakes-0-230-0-345-crop.jpg?v=180f24b89f,2025-01-01
